n_jobs=1	time=0.19791598320007325
n_jobs=2	time=0.11783280372619628
n_jobs=3	time=0.09631519317626953
n_jobs=4	time=0.08727116584777832
n_jobs=5	time=0.0830526351928711
n_jobs=6	time=0.08577942848205566
n_jobs=7	time=0.09514284133911133
n_jobs=8	time=0.10040063858032226
n_jobs=9	time=0.10473098754882812
n_jobs=10	time=0.11360058784484864
n_jobs=11	time=0.12242360115051269
n_jobs=12	time=0.130721378326416
